id,sequenceId,measureTime,heart,respiration
47885,172,2024-08-24 12:54:12.158+00,-56.613070103072815,8153.0049457983405
47890,172,2024-08-24 12:54:12.277+00,87.06749840221627,8151.159692856328
47895,172,2024-08-24 12:54:12.328+00,-94.86278572956846,8148.238625818396
47900,172,2024-08-24 12:54:12.378+00,67.73652659318233,8144.638459641524
47905,172,2024-08-24 12:54:12.428+00,-23.419616146697066,8140.748466283276
47910,172,2024-08-24 12:54:12.547+00,4.737305802554983,8136.93371830683
47915,172,2024-08-24 12:54:12.597+00,-11.882939728340984,8133.520496137475
47920,172,2024-08-24 12:54:12.648+00,1.9488253544949,8130.784301464966
47925,172,2024-08-24 12:54:12.769+00,11.501397969660072,8128.9407773331395
47930,172,2024-08-24 12:54:12.817+00,15.794890417774514,8128.139702937066
47935,172,2024-08-24 12:54:12.867+00,-72.5118985496552,8128.462110309469
47940,172,2024-08-24 12:54:12.918+00,109.63011450389038,8129.920458140156
47945,172,2024-08-24 12:54:13.039+00,-102.63197980670144,8132.461691572038
47950,172,2024-08-24 12:54:13.089+00,70.60585090395679,8135.972920467434
47955,172,2024-08-24 12:54:13.139+00,-35.24244202439876,8140.289372853697
47960,172,2024-08-24 12:54:13.258+00,-1.7514027978371975,8145.204227197858
47965,172,2024-08-24 12:54:13.309+00,29.139615377372163,8150.479887651241
47970,172,2024-08-24 12:54:13.359+00,-30.66463302927832,8155.860231444638
47975,172,2024-08-24 12:54:13.409+00,43.01808665152029,8161.083324605422
47980,172,2024-08-24 12:54:13.528+00,-91.38238823596451,8165.894077770003
47985,172,2024-08-24 12:54:13.578+00,103.34442461745738,8170.056311006212
47990,172,2024-08-24 12:54:13.629+00,-34.54982014703302,8173.3637218271515
47995,172,2024-08-24 12:54:13.75+00,-34.36029411682481,8175.6493008591215
48000,172,2024-08-24 12:54:13.798+00,33.369232167256584,8176.792811956251
48005,172,2024-08-24 12:54:13.848+00,15.750705477176039,8176.7260466328025
48010,172,2024-08-24 12:54:13.899+00,-61.718859661680305,8175.435670702388
48015,172,2024-08-24 12:54:14.02+00,70.94090249235477,8172.963600020851
48020,172,2024-08-24 12:54:14.07+00,-40.975526432387376,8169.404967922332
48025,172,2024-08-24 12:54:14.26+00,3.3482181607740764,8164.903869486184
48030,172,2024-08-24 12:54:14.31+00,22.886844117170583,8159.647178483364
48035,172,2024-08-24 12:54:14.359+00,-40.16238021612569,8153.856823496055
48040,172,2024-08-24 12:54:14.409+00,20.438007449229058,8147.780971720866
48045,172,2024-08-24 12:54:14.53+00,40.32339466282438,8141.684596380876
48050,172,2024-08-24 12:54:14.58+00,-74.69248935706523,8135.839892108657
48055,172,2024-08-24 12:54:14.63+00,55.40813786006463,8130.516953126036
48060,172,2024-08-24 12:54:14.749+00,-40.26977572666897,8125.975046867366
48065,172,2024-08-24 12:54:14.87+00,46.57921119224174,8122.454709013307
48070,172,2024-08-24 12:54:14.989+00,-40.84160106355403,8120.170774827094
48075,172,2024-08-24 12:54:15.039+00,13.244441639377898,8119.306370988414
48080,172,2024-08-24 12:54:15.09+00,-20.60712344079723,8120.007829360289
48085,172,2024-08-24 12:54:15.14+00,82.55630967068257,8122.3804444580455
48090,172,2024-08-24 12:54:15.19+00,-82.45060728899497,8126.484980893529
48095,172,2024-08-24 12:54:15.311+00,-30.70861644512144,8132.334856156634
48100,172,2024-08-24 12:54:15.36+00,115.26046997822651,8139.893982680519
48105,172,2024-08-24 12:54:15.481+00,-58.26157196050183,8149.075334368053
48110,172,2024-08-24 12:54:15.531+00,-33.06564192103235,8159.740380999637
48115,172,2024-08-24 12:54:15.65+00,20.826933396681962,8171.699595278343
48120,172,2024-08-24 12:54:15.7+00,32.34308498836555,8184.714273028425
48125,172,2024-08-24 12:54:15.75+00,-18.109771746927294,8198.499909391378
48130,172,2024-08-24 12:54:15.871+00,-12.671598504246967,8212.731346743045
48135,172,2024-08-24 12:54:15.991+00,-38.97837969804068,8227.049859846624
48140,172,2024-08-24 12:54:16.041+00,108.8746993541202,8241.072265103954
48145,172,2024-08-24 12:54:16.091+00,-73.79443791738662,8254.4020262339
48150,172,2024-08-24 12:54:16.142+00,-28.111751676537057,8266.642183716993
48155,172,2024-08-24 12:54:16.261+00,59.625410427580825,8277.409775604538
48160,172,2024-08-24 12:54:16.311+00,6.402120063150214,8286.351252706452
48163,173,2024-08-24 12:54:16.412+00,-86.63515329201482,8309.884840080022
48166,173,2024-08-24 12:54:16.442+00,-17.348872877307222,8313.961416467833
48169,173,2024-08-24 12:54:16.472+00,24.564049462192298,8316.910778952308
48172,173,2024-08-24 12:54:16.502+00,-17.490537309860333,8318.685117555025
48175,173,2024-08-24 12:54:16.601+00,-2.366818332720156,8319.248300724888
48178,173,2024-08-24 12:54:16.631+00,117.7040379014306,8318.576786448439
48181,173,2024-08-24 12:54:16.661+00,56.14651191451456,8316.660396633459
48184,173,2024-08-24 12:54:16.762+00,-146.25495901695606,8313.502924170907
48187,173,2024-08-24 12:54:16.792+00,-211.54994586059618,8309.122543759246
48190,173,2024-08-24 12:54:16.891+00,77.74432313124001,8303.552000538082
48193,173,2024-08-24 12:54:16.921+00,357.4857503584933,8296.83855495615
48196,173,2024-08-24 12:54:17.093+00,-61.657843573135025,8289.043668186861
48199,173,2024-08-24 12:54:17.123+00,-216.72343488683498,8280.242419761009
48202,173,2024-08-24 12:54:17.153+00,-62.64266999300635,8270.522657580324
48205,173,2024-08-24 12:54:17.181+00,107.82733089066816,8259.98388937923
48208,173,2024-08-24 12:54:17.211+00,71.92294074929366,8248.735933160433
48211,173,2024-08-24 12:54:17.453+00,-3.1348733305178613,8236.897351654025
48214,173,2024-08-24 12:54:17.483+00,-71.60658916331539,8224.593702376673
48217,173,2024-08-24 12:54:17.512+00,-130.06264482339083,8211.95564048533
48220,173,2024-08-24 12:54:17.542+00,157.64401133938884,8199.116916333103
48223,173,2024-08-24 12:54:17.572+00,217.45508343956013,8186.21231328896
48226,173,2024-08-24 12:54:17.743+00,-74.58908838514864,8173.375573686601
48229,173,2024-08-24 12:54:17.773+00,-419.4211051078515,8160.737361403193
48232,173,2024-08-24 12:54:17.872+00,7.31382167619346,8148.423308247395
48235,173,2024-08-24 12:54:17.902+00,362.3237873127013,8136.552187888014
48238,173,2024-08-24 12:54:17.933+00,106.9778191601835,8125.234255639949
48241,173,2024-08-24 12:54:17.963+00,22.96179655217692,8114.56978569723
48244,173,2024-08-24 12:54:17.993+00,-384.6005082719196,8104.647830236798
48247,173,2024-08-24 12:54:18.162+00,-82.77122447518612,8095.5452177875195
48250,173,2024-08-24 12:54:18.192+00,143.87678593964102,8087.325801544704
48253,173,2024-08-24 12:54:18.293+00,214.68472126207263,8080.039961976244
48256,173,2024-08-24 12:54:18.323+00,90.80125540822907,8073.7243622889455
48259,173,2024-08-24 12:54:18.354+00,-195.80633635552758,8068.401950382918
48262,173,2024-08-24 12:54:18.384+00,-144.26194839312603,8064.082196886713
48265,173,2024-08-24 12:54:18.414+00,30.512060227289613,8060.761555537371
48268,173,2024-08-24 12:54:18.513+00,75.59728962615652,8058.424129217337
48271,173,2024-08-24 12:54:18.543+00,111.08377076426811,8057.04252219471
48274,173,2024-08-24 12:54:18.646+00,-20.614086005821786,8056.578856604541
48277,173,2024-08-24 12:54:18.676+00,-104.1712742132369,8056.985929096768
48280,173,2024-08-24 12:54:18.704+00,33.12794554309402,8058.20848194374
48283,173,2024-08-24 12:54:18.734+00,-46.95636855026955,8060.184561727968
48286,173,2024-08-24 12:54:18.764+00,24.989420341554553,8062.846937959772
48289,173,2024-08-24 12:54:18.863+00,79.04934922764133,8066.124553596146
48292,173,2024-08-24 12:54:18.893+00,-71.63556091792306,8069.943979455163
48295,173,2024-08-24 12:54:18.924+00,34.62963455303863,8074.230844949768
48298,173,2024-08-24 12:54:18.954+00,6.692320866650054,8078.911218412283
48301,173,2024-08-24 12:54:19.055+00,-70.05326771995455,8083.912911542604
