id,dogId,measureTime,ax,ay,az,bcg,gx,gy,gz,temperature
1136584,13,2024-08-24 20:48:36.444+00,-1312,-14130,-7850,8199,-35,-1041,-1129,38.742008209228516
1136585,13,2024-08-24 20:48:36.454+00,-1326,-14424,-8112,8093,-22,-1338,-1305,38.742008209228516
1136586,13,2024-08-24 20:48:36.464+00,-1374,-14844,-8434,8126,341,-1885,-1479,38.742008209228516
1136587,13,2024-08-24 20:48:36.474+00,-1372,-14976,-8420,8186,1050,-2417,-1491,38.742008209228516
1136588,13,2024-08-24 20:48:36.484+00,-1220,-14918,-8022,8220,1603,-2711,-1368,38.742008209228516
1136589,13,2024-08-24 20:48:36.494+00,-1042,-14676,-7980,8176,1880,-2929,-1285,38.742008209228516
1136590,13,2024-08-24 20:48:36.504+00,-854,-14558,-8000,8191,2047,-3312,-1360,38.742008209228516
1136591,13,2024-08-24 20:48:36.515+00,-816,-14674,-7912,8251,2275,-3622,-1554,38.742008209228516
1136592,13,2024-08-24 20:48:36.525+00,-942,-14636,-7810,8316,2315,-3864,-1762,38.742008209228516
1136593,13,2024-08-24 20:48:36.535+00,-942,-14722,-7636,8291,2349,-3851,-1807,38.742008209228516
1136594,13,2024-08-24 20:48:36.545+00,-744,-14980,-7462,8161,2582,-3740,-1501,38.742008209228516
1136595,13,2024-08-24 20:48:36.555+00,-716,-15144,-7620,8261,2917,-4135,-1049,38.742008209228516
1136596,13,2024-08-24 20:48:36.565+00,-968,-14994,-7436,8598,3151,-5072,-574,38.742008209228516
1136597,13,2024-08-24 20:48:36.575+00,-1276,-14460,-6906,8798,2953,-5113,-366,38.742008209228516
1136598,13,2024-08-24 20:48:36.585+00,-1170,-13996,-6444,8423,2904,-4708,-634,38.742008209228516
1136599,13,2024-08-24 20:48:36.595+00,-1058,-13968,-6512,8218,2775,-4616,-961,38.742008209228516
1136600,13,2024-08-24 20:48:36.605+00,-722,-15180,-7216,8055,2447,-5021,-1041,38.742008209228516
1136601,13,2024-08-24 20:48:36.615+00,-736,-15844,-7688,8135,2474,-5161,-965,38.742008209228516
1136602,13,2024-08-24 20:48:36.625+00,-848,-16054,-7288,8474,3021,-5042,-1012,38.742008209228516
1136603,13,2024-08-24 20:48:36.635+00,-854,-15444,-6428,8376,3028,-4486,-1365,38.742008209228516
1136604,13,2024-08-24 20:48:36.645+00,-494,-15074,-6210,8276,2762,-3670,-1658,38.742008209228516
1136605,13,2024-08-24 20:48:57.354+00,-6450,-14890,-7056,8724,-456,-12986,3315,38.77138137817383
1136606,13,2024-08-24 20:48:57.364+00,-5646,-13932,-6902,8332,-1233,-13797,902,38.77138137817383
1136607,13,2024-08-24 20:48:57.374+00,-4488,-13166,-7468,7921,-1590,-14165,-1720,38.77138137817383
1136608,13,2024-08-24 20:48:57.384+00,-3464,-13130,-8076,7658,-1729,-15006,-3947,38.77138137817383
1136611,13,2024-08-24 20:48:57.414+00,-1478,-13874,-7996,8217,-713,-21178,-4608,38.77138137817383
1136614,13,2024-08-24 20:48:57.444+00,-2482,-13772,-6910,8458,-698,-25439,-3576,38.77138137817383
1136617,13,2024-08-24 20:48:57.474+00,-5372,-12312,-4434,8686,-4191,-26929,-4694,38.77138137817383
1136620,13,2024-08-24 20:48:57.505+00,-7018,-12636,-6134,8213,-7490,-26451,-6371,38.77138137817383
1136623,13,2024-08-24 20:48:57.535+00,-5088,-14210,-7960,7576,-7681,-22014,-7882,38.77138137817383
1136626,13,2024-08-24 20:48:57.565+00,-2108,-14646,-7516,7684,-6911,-14200,-8561,38.77138137817383
1136629,13,2024-08-24 20:48:57.595+00,-2560,-14622,-7622,8209,-5325,-7681,-8815,38.75802993774414
1136632,13,2024-08-24 20:48:57.625+00,-2630,-14282,-8202,8144,-3638,-7633,-6600,38.75802993774414
1136635,13,2024-08-24 20:48:57.664+00,-3678,-14272,-6694,8495,-2910,-10419,-4779,38.75802993774414
1136638,13,2024-08-24 20:48:57.694+00,-2308,-14632,-8314,7705,-1914,-5789,-3563,38.75802993774414
1136641,13,2024-08-24 20:48:57.724+00,-962,-13480,-7348,8302,-3558,-2934,-3491,38.75802993774414
1136644,13,2024-08-24 20:48:57.754+00,-2524,-15618,-8458,8475,-1897,-379,-2147,38.75802993774414
1136647,13,2024-08-24 20:48:57.785+00,-3438,-16016,-9654,8629,2220,2757,194,38.75802993774414
1136650,13,2024-08-24 20:48:57.815+00,-2806,-16896,-6988,8575,6505,11394,937,38.75802993774414
1136653,13,2024-08-24 20:48:57.845+00,-1184,-15480,-6194,7574,7371,27778,2738,38.75802993774414
1136656,13,2024-08-24 20:48:57.875+00,142,-13802,-7612,6863,5196,32767,4262,38.75802993774414
1136659,13,2024-08-24 20:48:57.905+00,3264,-14214,-7044,6667,5099,26629,7537,38.75802993774414
1136662,13,2024-08-24 20:48:57.936+00,6266,-13494,-6492,7445,7039,24196,14240,38.75802993774414
1136665,13,2024-08-24 20:48:57.966+00,6162,-12010,-6208,8059,2603,28537,17053,38.75802993774414
1136668,13,2024-08-24 20:48:57.994+00,2554,-11100,-7184,7893,-847,32767,19164,38.75802993774414
1136671,13,2024-08-24 20:48:58.024+00,-1674,-11184,-8774,7971,-5103,30804,19073,38.75802993774414
1136674,13,2024-08-24 20:48:58.054+00,-5622,-14342,-10626,9046,-6922,19346,16590,38.75802993774414
1136677,13,2024-08-24 20:48:58.085+00,-4962,-15788,-11102,7791,-2779,16629,11703,38.75802993774414
1136680,13,2024-08-24 20:48:58.115+00,-4328,-14512,-11386,8021,-823,10500,7801,38.75802993774414
1136683,13,2024-08-24 20:48:58.145+00,-3952,-13072,-8930,8139,789,8878,6800,38.75802993774414
1136686,13,2024-08-24 20:48:58.175+00,-4260,-13982,-9716,8017,1139,6735,2967,38.75802993774414
1136689,13,2024-08-24 20:48:58.206+00,-4350,-14602,-9032,8250,2802,3682,2166,38.75802993774414
1136692,13,2024-08-24 20:48:58.236+00,-3466,-13020,-7244,8130,2144,2982,862,38.75802993774414
1136695,13,2024-08-24 20:48:58.266+00,-2546,-13560,-8558,8063,1489,2619,-452,38.75802993774414
1136698,13,2024-08-24 20:48:58.296+00,-2712,-14684,-8064,8128,2839,2851,24,38.75802993774414
1136701,13,2024-08-24 20:48:58.326+00,-2650,-13952,-8108,7968,3293,2342,-775,38.75802993774414
1136704,13,2024-08-24 20:48:58.355+00,-2730,-13134,-7656,8238,2026,588,-504,38.75802993774414
1136707,13,2024-08-24 20:48:58.385+00,-2632,-13252,-7284,8180,310,-375,-694,38.75802993774414
1136710,13,2024-08-24 20:48:58.415+00,-1752,-13920,-7210,7991,438,-54,-366,38.75802993774414
1136713,13,2024-08-24 20:48:58.445+00,-1528,-14030,-8042,8133,-277,149,-193,38.75802993774414
1136716,13,2024-08-24 20:48:58.475+00,-2208,-13876,-7738,8413,-608,-222,509,38.75802993774414
1136719,13,2024-08-24 20:48:58.506+00,-2332,-14264,-7432,8198,-954,164,543,38.75802993774414
1136722,13,2024-08-24 20:48:58.536+00,-1970,-14636,-8038,8137,-187,1086,-65,38.75802993774414
1136725,13,2024-08-24 20:48:58.566+00,-2758,-13734,-7826,8071,-102,671,-394,38.75802993774414
1136728,13,2024-08-24 20:48:58.596+00,-2446,-14350,-8236,8127,-309,-1242,-147,38.77138137817383
1136731,13,2024-08-24 20:48:58.635+00,-1782,-13568,-8182,8151,-486,-1653,-248,38.77138137817383
1136734,13,2024-08-24 20:48:58.665+00,-1776,-14678,-8492,8138,-168,-1097,148,38.77138137817383
1136737,13,2024-08-24 20:48:58.695+00,-1846,-13436,-8044,8137,469,-780,-22,38.77138137817383
1136740,13,2024-08-24 20:48:58.725+00,-2030,-14032,-8104,8108,71,-865,-733,38.77138137817383
1136743,13,2024-08-24 20:48:58.755+00,-2494,-13750,-7386,8240,214,-1190,-142,38.77138137817383
1136746,13,2024-08-24 20:48:58.786+00,-1504,-13680,-7452,7774,-1111,-88,-693,38.77138137817383
1136749,13,2024-08-24 20:48:58.816+00,-974,-14532,-8090,8015,-1318,571,680,38.77138137817383
1136752,13,2024-08-24 20:48:58.846+00,-1566,-13902,-7894,8289,-701,1253,2010,38.77138137817383
1136755,13,2024-08-24 20:48:58.876+00,-1530,-14524,-8268,7922,-53,1887,496,38.77138137817383
1136758,13,2024-08-24 20:48:58.906+00,-1762,-13930,-8872,8244,-779,1584,1207,38.77138137817383
1136761,13,2024-08-24 20:48:58.937+00,-2030,-13446,-9034,8289,-525,775,1119,38.77138137817383
1136764,13,2024-08-24 20:48:58.967+00,-1694,-13388,-8418,8108,-93,671,929,38.77138137817383
1136767,13,2024-08-24 20:48:58.995+00,-2264,-14056,-8572,8130,42,525,890,38.77138137817383
1136770,13,2024-08-24 20:48:59.025+00,-2266,-13730,-7944,7969,116,721,831,38.77138137817383
1136773,13,2024-08-24 20:48:59.056+00,-1380,-13394,-8250,8045,-577,712,422,38.77138137817383
1136776,13,2024-08-24 20:48:59.086+00,-1486,-14670,-8274,8154,-401,1328,1157,38.77138137817383
1136779,13,2024-08-24 20:48:59.116+00,-1844,-13872,-8430,8043,-180,3017,1089,38.77138137817383
1136782,13,2024-08-24 20:48:59.146+00,-2282,-13824,-8736,8186,408,2185,416,38.77138137817383
1136785,13,2024-08-24 20:48:59.176+00,-2954,-14122,-8532,8193,433,8,314,38.77138137817383
1136788,13,2024-08-24 20:48:59.207+00,-1514,-12894,-9166,8092,-863,-844,-1115,38.77138137817383
1136791,13,2024-08-24 20:48:59.237+00,-1420,-13472,-8466,8193,-359,157,-627,38.77138137817383
1136794,13,2024-08-24 20:48:59.267+00,-1758,-13650,-8780,8097,-354,899,-47,38.77138137817383
1136797,13,2024-08-24 20:48:59.297+00,-2358,-13450,-8482,8020,-218,228,-413,38.77138137817383
1136800,13,2024-08-24 20:48:59.327+00,-1834,-13374,-8484,8019,-1053,-1452,-527,38.77138137817383
1136803,13,2024-08-24 20:48:59.356+00,-1192,-14034,-8286,8134,-1433,-890,-349,38.77138137817383
1136806,13,2024-08-24 20:48:59.386+00,-958,-13760,-8666,8114,-1670,976,-58,38.77138137817383
1136809,13,2024-08-24 20:48:59.416+00,-1644,-13936,-8974,8204,-655,1531,7,38.77138137817383
1136812,13,2024-08-24 20:48:59.446+00,-2100,-14040,-9292,8150,-37,1136,-108,38.77138137817383
1136815,13,2024-08-24 20:48:59.477+00,-1662,-13138,-9716,8049,-511,375,240,38.77138137817383
1136818,13,2024-08-24 20:48:59.507+00,-1348,-13090,-9626,8328,107,-168,-43,38.77138137817383
1136821,13,2024-08-24 20:48:59.537+00,-1386,-13558,-9362,8149,606,491,295,38.77138137817383
