id,dogId,measureTime,ax,ay,az,bcg,gx,gy,gz,temperature
78681,6,2024-08-24 13:40:55.073+00,6590,14288,-2556,8294,-3409,-4993,1719,38.48832702636719
78686,6,2024-08-24 13:40:55.123+00,6892,14520,-2266,8159,-2438,-3112,1203,38.48832702636719
78691,6,2024-08-24 13:40:55.17+00,5808,14592,-2476,8329,-752,-1679,1336,38.48832702636719
78696,6,2024-08-24 13:40:55.222+00,6336,14492,-2928,8156,36,-1967,976,38.48832702636719
78701,6,2024-08-24 13:40:55.272+00,6736,14706,-2544,8155,-364,-1854,558,38.48832702636719
78706,6,2024-08-24 13:40:55.322+00,3844,13684,-2390,8563,-158,-1278,794,38.48832702636719
78711,6,2024-08-24 13:40:55.373+00,10504,16356,-3846,5426,-5472,5022,-1757,38.48832702636719
78716,6,2024-08-24 13:40:55.423+00,15756,21174,3128,7320,-8193,16564,-13840,38.48832702636719
78721,6,2024-08-24 13:40:55.473+00,930,7828,4990,8340,2221,25500,-10972,38.48832702636719
78726,6,2024-08-24 13:40:55.522+00,778,6396,732,8822,27948,15379,5405,38.48832702636719
78731,6,2024-08-24 13:40:55.572+00,4776,14050,1322,6467,32767,27399,2500,38.48832702636719
78736,6,2024-08-24 13:40:55.622+00,12780,16992,-18168,8351,27110,6417,2659,38.48832702636719
78741,6,2024-08-24 13:40:55.675+00,9464,18450,-10928,8959,13673,7608,-2013,38.50434875488281
78746,6,2024-08-24 13:40:55.723+00,6132,12090,-7774,9143,6243,10220,-17015,38.50434875488281
78751,6,2024-08-24 13:40:55.771+00,4084,10750,-10922,8842,171,12696,-16023,38.50434875488281
78756,6,2024-08-24 13:40:55.821+00,4014,13152,-7844,8747,-3397,7485,-3418,38.50434875488281
78761,6,2024-08-24 13:40:55.872+00,2202,10800,-6668,8443,-7126,8396,3967,38.50434875488281
78766,6,2024-08-24 13:40:55.923+00,7924,20436,-2892,6991,-790,-4168,7542,38.50434875488281
78771,6,2024-08-24 13:40:55.973+00,7400,13124,-5118,8778,-4824,-700,-1936,38.50434875488281
78682,6,2024-08-24 13:40:55.083+00,6704,14350,-2628,8172,-3251,-4184,1453,38.48832702636719
78687,6,2024-08-24 13:40:55.133+00,7124,14684,-2244,8318,-2128,-2754,1372,38.48832702636719
78692,6,2024-08-24 13:40:55.18+00,5620,14564,-2366,8127,-671,-1528,1560,38.48832702636719
78697,6,2024-08-24 13:40:55.232+00,6324,14742,-3080,8193,70,-2139,841,38.48832702636719
78702,6,2024-08-24 13:40:55.282+00,6360,14478,-2152,8131,-574,-1204,764,38.48832702636719
78707,6,2024-08-24 13:40:55.332+00,3690,14066,-2682,7927,-1143,91,1163,38.48832702636719
78712,6,2024-08-24 13:40:55.383+00,15708,19846,-460,5712,-6822,5204,-3466,38.48832702636719
78717,6,2024-08-24 13:40:55.433+00,15952,17564,1182,7814,-9968,18046,-15338,38.48832702636719
78722,6,2024-08-24 13:40:55.483+00,-856,2892,722,7849,12971,26376,-8940,38.48832702636719
78727,6,2024-08-24 13:40:55.532+00,1836,8828,590,9932,25414,23761,8183,38.48832702636719
78732,6,2024-08-24 13:40:55.582+00,4786,15928,-3432,5172,32674,28050,-1796,38.48832702636719
78737,6,2024-08-24 13:40:55.635+00,12780,16992,-18168,8351,27110,6417,2659,38.50434875488281
78742,6,2024-08-24 13:40:55.685+00,9448,15942,-10776,8886,12481,6923,-4744,38.50434875488281
