id,dogId,startTime,endTime,intentsity,excercise,heartAnomoly,heartRate,respirationRate
251,6,2024-08-24 13:39:23.982+00,2024-08-24 13:39:26.776+00,2,1.68,0,64,32
253,6,2024-08-24 13:39:29.588+00,2024-08-24 13:39:32.382+00,2,1.68,0,128,32
255,6,2024-08-24 13:39:35.194+00,2024-08-24 13:39:37.987+00,2,1.68,0,75,32
257,6,2024-08-24 13:39:40.799+00,2024-08-24 13:39:43.59+00,2,1.68,0,138,32
259,6,2024-08-24 13:39:46.406+00,2024-08-24 13:39:49.198+00,3,2.8,0,110,32
261,6,2024-08-24 13:39:52.01+00,2024-08-24 13:39:54.804+00,2,1.68,0,80,21
247,6,2024-08-24 16:06:48.165+00,2024-08-24 13:39:15.564+00,2,1.68,0,91,32
250,6,2024-08-24 13:39:21.181+00,2024-08-24 13:39:23.971+00,2,1.68,0,82,32
252,6,2024-08-24 13:39:26.786+00,2024-08-24 13:39:29.578+00,2,1.68,0,116,32
254,6,2024-08-24 13:39:32.392+00,2024-08-24 13:39:35.184+00,2,1.68,0,64,32
258,6,2024-08-24 13:39:43.602+00,2024-08-24 13:39:46.395+00,2,1.68,0,81,42
262,6,2024-08-24 13:39:54.812+00,2024-08-24 13:39:57.606+00,2,1.68,0,93,32
264,6,2024-08-24 13:40:00.418+00,2024-08-24 13:40:03.211+00,2,1.68,0,97,32
248,6,2024-08-24 13:39:15.575+00,2024-08-24 13:39:18.368+00,2,1.68,0,120,32
249,6,2024-08-24 13:39:18.377+00,2024-08-24 13:39:21.17+00,2,1.68,0,89,32
256,6,2024-08-24 13:39:37.995+00,2024-08-24 13:39:40.789+00,2,1.68,0,70,32
260,6,2024-08-24 13:39:49.208+00,2024-08-24 13:39:52+00,2,1.68,0,90,32
263,6,2024-08-24 13:39:57.616+00,2024-08-24 13:40:00.409+00,2,1.68,0,125,10
265,6,2024-08-24 13:40:03.222+00,2024-08-24 13:40:06.013+00,2,1.68,0,76,32
266,6,2024-08-24 13:40:06.024+00,2024-08-24 13:40:08.818+00,2,1.68,0,91,32
267,6,2024-08-24 13:40:08.826+00,2024-08-24 13:40:11.62+00,2,1.68,0,69,32
268,6,2024-08-24 13:40:11.634+00,2024-08-24 13:40:14.422+00,2,1.68,0,91,21
269,6,2024-08-24 13:40:14.432+00,2024-08-24 13:40:17.225+00,2,1.68,0,74,32
270,6,2024-08-24 13:40:17.236+00,2024-08-24 13:40:20.027+00,2,1.68,0,57,21
271,6,2024-08-24 13:40:20.038+00,2024-08-24 13:40:22.831+00,2,1.68,0,77,32
272,6,2024-08-24 13:40:22.84+00,2024-08-24 13:40:25.634+00,2,1.68,0,154,21
273,6,2024-08-24 13:40:25.644+00,2024-08-24 13:40:28.437+00,2,1.68,0,138,32
274,6,2024-08-24 13:40:28.447+00,2024-08-24 13:40:31.239+00,2,1.68,0,81,21
275,6,2024-08-24 13:40:31.249+00,2024-08-24 13:40:34.041+00,2,1.68,0,66,21
